country,state,city,district,latitude,longitude
Spain,Catalonia,Barcelona,Gràcia,41.4065767,2.1582812
Spain,Catalonia,Barcelona,Sant Martí,41.4084102,2.2031889
Spain,Catalonia,Barcelona,Eixample,41.3936885,2.1636552
Spain,Catalonia,Barcelona,Ciutat Vella,41.3819793,2.1804154
Spain,Catalonia,Barcelona,Sants-Montjuïc,41.3694609,2.1441845
Spain,Catalonia,Barcelona,Nou Barris,41.4458153,2.1798006
Spain,Catalonia,Barcelona,Sant Andreu,41.4372495,2.1954872
Spain,Catalonia,Barcelona,Sarrià-Sant Gervasi,41.4016165,2.1298571
Spain,Catalonia,Barcelona,Horta-Guinardó,41.4289652,2.1506189
Spain,Catalonia,Barcelona,Les Corts,41.385244,2.1328626
Spain,Catalonia,Barcelona,Unknown (need recoding),,
