district,hood,city,latitude,longitude
Gracia,Vila de Gracia,Barcelona,,
Sant Martí,Verneda i la Pau,Barcelona,,
Eixample,Nova Esquerra Eixample,Barcelona,,
Ciutat Vella,Barceloneta,Barcelona,,
Eixample,Dreta de Eixample,Barcelona,,
Sants - Montjuic,Poble-sec,Barcelona,,
Nou Barris,Prosperitat,Barcelona,,
Sant Martí,Provençals del Poblenou,Barcelona,,
Sants - Montjuic,Sants,Barcelona,,
Sant Andreu,Navas,Barcelona,,
Sant Martí,Poblenou,Barcelona,,
Ciutat Vella,Raval,Barcelona,,
Nou Barris,Vilapicina i la Torre Llobeta,Barcelona,,
Sant Andreu,Baró de Viver,Barcelona,,
Sant Martí,Vila Olímpica del Poblenou,Barcelona,,
Nou Barris,Porta,Barcelona,,
Sants - Montjuic,Sants Badal,Barcelona,,
Eixample,Sagrada Familia,Barcelona,,
Sarria - Sant Gervasi,Sarria,Barcelona,,
Eixample,Sant Antoni,Barcelona,,
Sants - Montjuic,Marina de Port,Barcelona,,
Sant Andreu,Sagrera,Barcelona,,
Gracia,El Coll,Barcelona,,
Sant Andreu,Sant Andreu,Barcelona,,
Nou Barris,Turó de la Peira,Barcelona,,
Sants - Montjuic,Hostafrancs,Barcelona,,
Sarria - Sant Gervasi,Putxet i El Farró,Barcelona,,
Ciutat Vella,Barrio Gotico,Barcelona,,
Sant Martí,El Camp de l'Arpa del Clot,Barcelona,,
Gracia,Vallcarca i els Penitents,Barcelona,,
Sant Martí,El Clot,Barcelona,,
Sants - Montjuic,La Bordeta,Barcelona,,
Horta-Guinardó,Font d'en Fargues,Barcelona,,
Horta-Guinardó,Sant Genís dels Agudells,Barcelona,,
Sant Andreu,Congrés i els Indians,Barcelona,,
Nou Barris,Les Roquetes,Barcelona,,
Sant Martí,Besos i el Maresme,Barcelona,,
Nou Barris,Verdun,Barcelona,,
Nou Barris,La Guineueta,Barcelona,,
Sarria - Sant Gervasi,Les Tres Torres,Barcelona,,
Horta-Guinardó,El Carmel,Barcelona,,
Nou Barris,Torre Baró,Barcelona,,
Les Corts,Les Corts,Barcelona,,
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Barcelona,,
Sarria - Sant Gervasi,Bonanova,Barcelona,,
Sarria - Sant Gervasi,Galvany,Barcelona,,
Les Corts,Maternitat i Sant Ramon,Barcelona,,
Horta-Guinardó,Baix Guinardó,Barcelona,,
Eixample,Fort Pienc,Barcelona,,
Sants - Montjuic,Font de la Guatlla,Barcelona,,
Sant Andreu,Bon Pastor,Barcelona,,
Horta-Guinardó,Horta,Barcelona,,
Horta-Guinardó,Teixonera,Barcelona,,
Eixample,Antiga Esquerra de l'Eixample,Barcelona,,
Sant Martí,el Parc i la Llacuna del Poblenou,Barcelona,,
Gracia,Camp d'en Grassot i Gràcia Nova,Barcelona,,
Nou Barris,Ciutat Meridiana,Barcelona,,
Horta-Guinardó,Vall d'Hebron,Barcelona,,
Sant Martí,Sant Martí de Provençals,Barcelona,,
Nou Barris,Can Peguera,Barcelona,,
Gracia,La Salut,Barcelona,,
Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Barcelona,,
Nou Barris,Vallbona,Barcelona,,
Les Corts,Pedralbes,Barcelona,,
Sarria - Sant Gervasi,Vallvidrera (Tibidabo and Les Planes),Barcelona,,
Horta-Guinardó,Guinardó,Barcelona,,
Nou Barris,Canyelles,Barcelona,,
Sants - Montjuic,Marina del Prat Vermell,Barcelona,,
Sant Andreu,Trinitat Vella,Barcelona,,
Horta-Guinardó,Can Baró,Barcelona,,
Horta-Guinardó,La Clota,Barcelona,,
Nou Barris,Trinitat Nova,Barcelona,,
Horta-Guinardó,Montbau,Barcelona,,
Unknown (need recoding),Unknown (need recoding),Barcelona,,
